type,title,release_year,rating,duration,listed_in,description,show_id,director,cast,country,date_added
TV Show,Andi Mack,2016,TV-G,3 Seasons,"Comedy, Coming of Age, Drama","Andi's life is shaken by her sister, Bex's, surprise.",s729,,"Peyton Lee, Joshua Rush, Sofia Wylie, Asher Angel, Lilan Bowden, Lauren Tom",United States,"Tuesday, November 12, 2019"
TV Show,Best Friends Whenever,2015,TV-G,2 Seasons,"Buddy, Comedy, Coming of Age",Best friends gain the ability to travel through time!,s749,,"Lauren Taylor, Shelby Bender, Gus Kamp, Ricky Garcia, Benjamin Royer, Matthew Royer",United States,"Tuesday, November 12, 2019"
TV Show,Boy Meets World,1993,TV-PG,7 Seasons,"Comedy, Coming of Age, Family","Adolescent Cory Matthews grows up, and faces problems with friends, family, and school.",s760,,"Ben Savage, William Daniels, Betsy Randle, Will Friedle, Rider Strong, Lee Norris",United States,"Tuesday, November 12, 2019"
TV Show,Bug Juice: My Adventures at Camp,2017,TV-G,1 Season,"Coming of Age, Docuseries, Family",Camp Waziyatah opens its doors for a fun summer.,s768,,,United States,"Tuesday, November 12, 2019"
TV Show,Crash & Bernstein,2012,TV-Y7,2 Seasons,"Comedy, Fantasy, Kids","The only boy in a family, Wyatt creates a puppet brother.",s803,,"Cole Jensen, Tim Lagasse, Landry Bender, Oana Gregory, Aaron Landon",United States,"Tuesday, November 12, 2019"
TV Show,Darkwing Duck,1991,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids","Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack.",s806,,"Jim Cummings, Christine Cavanaugh, Terry McGovern, Frank Welker",United States,"Tuesday, November 12, 2019"
Movie,Decorating Disney: Holiday Magic,2017,TV-PG,42 min,"Documentary, Family, Reality",Disney Parks become the Merriest Places on Earth.,s810,,"Whoopi Goldberg, Sofia Carson, Jordan Fisher",United States,"Tuesday, November 12, 2019"
TV Show,Disney Bizaardvark,2015,TV-PG,3 Seasons,"Buddy, Comedy, Family",Paige and Frankie produce an online comedy channel.,s818,,"Madison Hu, Olivia Rodrigo, Jake Paul, DeVore Ledridge, Ethan Wacker",United States,"Tuesday, November 12, 2019"
TV Show,Disney Descendants Wicked World (Shorts),2015,TV-G,2 Seasons,"Animation, Coming of Age, Fantasy",Descendants continues with new animated shorts!,s821,,,United States,"Tuesday, November 12, 2019"
TV Show,Disney Family Sundays,2019,TV-G,1 Season,"Anthology, Family, Lifestyle",Amber Kemp-Gerstel shares her love of crafting in a series of Disney-themed DIY projects.,s824,,,United States,"Tuesday, November 12, 2019"
TV Show,Disney Fast Layne,2018,TV-G,1 Season,"Action-Adventure, Animation, Comedy",Twelve-year-old Layne Reed discovers a talking car.,s825,,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",United States,"Tuesday, November 12, 2019"
TV Show,Disney Gravity Falls,2011,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",Dipper and Mabel spend the summer with Grunkle Stan.,s827,,"Kristen Schaal, Jason Morgan, Alex Hirsch",United States,"Tuesday, November 12, 2019"
TV Show,Disney Jake and the Never Land Pirates,2010,TV-Y,4 Seasons,"Action-Adventure, Animation, Fantasy",Jake sails for a treasure hunt against Captain Hook.,s829,,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",United States,"Tuesday, November 12, 2019"
